actor,type,bankability_score,film_count
Deepa Mehta,director,2.0,1
Lisa Ray,actor,2.0,1
Arun Bakshi,actor,1.9559,1
Rita Bhaduri,actor,1.9559,1
Suresh Krishna,director,1.9559,1
Saroja Devi B.,director,1.9251,1
Helen,actor,1.9251,1
King Kong,actor,1.9251,1
Kitty,actor,1.9251,1
Sakshi Tanwar,actor,1.9178,1
Rahul Tiwari Adhiyari,actor,1.8869,1
Asima Bhatt,actor,1.8869,1
Rahul Tiwari,director,1.8869,1
Anil Arora,actor,1.8869,1
Harshaali Malhotra,actor,1.8865,1
Advait Chandan,director,1.8861,1
Raj Arjun,actor,1.8861,1
Meher Vij,actor,1.8861,1
Kubbra Sait,actor,1.8716,1
Aryeman Ramsay,director,1.8671,2
Anupriya Goenka,actor,1.8671,1
Rajkumar Hirani,director,1.8668,5
Vijayalaxmi,actor,1.866,2
Raja Nawathe,director,1.866,2
Aamir Khan,actor,1.8632,23
Ravi Kishan,actor,1.8603,3
Mani Ratnam,director,1.8597,3
Mona Singh,actor,1.8597,1
Sathyaraj,actor,1.8563,1
Manisha Koirala,actor,1.8549,11
Sajid Nadiadwala,director,1.8521,1
Sandeep Reddy Vanga,director,1.852,1
Nikita Dutta,actor,1.852,1
Om Raut,director,1.8503,1
Fahadh Faasil,actor,1.8491,1
Allu Arjun,actor,1.8491,1
Sukumar,director,1.8491,1
Ali Abbas Zafar,director,1.8488,5
Aditya Dhar,director,1.8481,1
Mohit Raina,actor,1.8481,1
Sam Nagar,actor,1.8474,2
Mukul Dev,actor,1.8473,3
Saba Qamar,actor,1.8473,1
Dishita Sehgal,actor,1.8473,1
Vijay Krishna Acharya,director,1.846,3
Rahul Dev,actor,1.846,3
Girish Karnad,actor,1.8457,1
Sai Paranjape,director,1.8452,1
Farooq Shaikh,actor,1.8452,1
Nitesh Tiwari,director,1.8452,3
Deepti Naval,actor,1.8452,1
Siddharth Anand,director,1.8437,6
Jagan Shakti,director,1.8418,1
Sooraj R. Barjatya,director,1.8411,4
Aditi Rao Hydari,actor,1.8396,3
Sanjay Leela Bhansali,director,1.8388,10
Arbaaz Khan,director,1.8384,1
Rakesh Roshan,director,1.8362,6
Pawan Malhotra,actor,1.8359,2
Sriram Raghavan,director,1.8356,2
Siddharth Malhotra,director,1.8339,1
Nakul Roshan Sahdev,actor,1.8337,1
Vijay Varma,actor,1.8337,1
Farah Khan,director,1.8331,4
Siddique,director,1.8329,1
Sheetal Menon,actor,1.8319,1
Kiara Advani,actor,1.8318,4
Amole Gupte,actor,1.8305,1
Abhinav Kashyap,director,1.8303,1
Kabir Khan,director,1.8302,6
Indira Tiwari,actor,1.8296,1
Hrithik Roshan,actor,1.8295,19
Nandish Singh,actor,1.8294,1
Suvinder Vicky,actor,1.829,1
Sahil Vaid,actor,1.8277,1
Salman Khan,actor,1.8271,48
Saket Chaudhary,director,1.827,2
Saurabh Shukla,actor,1.8269,1
Yash Chopra,director,1.8268,4
A.R. Murugadoss,director,1.8263,1
Jiah Khan,actor,1.8263,1
Sara Ali Khan,actor,1.8262,2
Rajit Kapoor,actor,1.8257,2
Raj Mehta,director,1.8254,2
Aishwarya Rai Bachchan,actor,1.8249,17
Sharad Kelkar,actor,1.8247,2
Daisy Shah,actor,1.8247,1
Ayan Mukherjee,director,1.8244,2
Karan Johar,director,1.8239,6
Anurag Singh,director,1.8235,2
Abhishek Varman,director,1.8219,1
Nimrat Kaur,actor,1.8219,2
Raj Babbar,actor,1.8216,4
Amrita Singh,actor,1.8216,3
Shashank Khaitan,director,1.8209,2
Vivek Verma,actor,1.8203,1
Rahul Singh Rathod,director,1.8203,1
Ahmed Khan,director,1.8201,3
Sohail Khan,actor,1.82,2
Rohit Shetty,director,1.8196,13
Reema Kagti,director,1.8184,1
Amit Bimrot,actor,1.8174,1
Shefali Shah,actor,1.8164,1
Anil Devgan,actor,1.8164,1
Alia Bhatt,actor,1.8159,10
Sajid,director,1.8159,2
Farhad Samji,actor,1.8159,2
Jag Mundhra,director,1.8158,2
Tarina Patel,actor,1.8158,2
Anuj Saxena,actor,1.8158,2
Erika Kaar,actor,1.8156,1
Abigail Eames,actor,1.8156,1
Rana Daggubati,actor,1.8143,1
Deepika Padukone,actor,1.8139,17
Shashanka Ghosh,director,1.8137,1
Radha Krishna Jagarlamudi,director,1.8137,2
Danny Denzongpa,actor,1.8136,5
Prabhu Deva,director,1.8136,7
Amit Ravindernath Sharma,director,1.8136,2
Akiv Ali,director,1.8134,1
Tiger Shroff,actor,1.8134,7
Ajay Devgn,actor,1.8127,58
Tabu,actor,1.8126,16
Seema Biswas,actor,1.811,3
Katrina Kaif,actor,1.8109,24
Laxman Utekar,director,1.8102,1
Aparshakti Khurana,actor,1.8102,1
Nora Fatehi,actor,1.8099,1
Sudeep,actor,1.8097,3
Anees Bazmee,director,1.8093,12
Shah Rukh Khan,actor,1.8092,41
Sajid Khan,director,1.8087,4
Ajay Devgn,director,1.8086,2
Gajraj Rao,actor,1.8081,2
Yogendra Tiku,actor,1.8078,1
Ram Madhvani,director,1.8078,1
Nana Patekar,actor,1.8075,9
Gauri Shinde,director,1.8072,2
Sangeeta Choudhary,actor,1.8071,1
Uttar Kumar,actor,1.8071,1
Shakun Batra,director,1.8071,2
Dinesh Chaudhary,director,1.8071,1
Raju Maan,actor,1.8071,1
Anushka Sharma,actor,1.8069,14
Smita Patil,actor,1.8068,1
Kulbhushan Kharbanda,actor,1.8068,1
Rakeysh Omprakash Mehra,director,1.8064,3
Amar Kaushik,director,1.8059,2
Akshay Kumar,actor,1.8058,71
Farhad Samji,director,1.8055,2
Varun Dhawan,actor,1.8053,11
Vicky Kaushal,actor,1.8051,3
Remo D'Souza,director,1.8048,5
Björn Freiberg,actor,1.8047,1
Shriya Saran,actor,1.8044,1
Shernaz Patel,actor,1.804,3
Vidya Malvade,actor,1.804,1
Sagarika Ghatge,actor,1.804,1
Shaad Randhawa,actor,1.804,1
Ranbir Kapoor,actor,1.804,16
Milan Luthria,director,1.8039,5
Rohit Dhawan,director,1.8038,2
Zaira Wasim,actor,1.8035,2
Priyanka Kothari,actor,1.8033,1
Gautam Gupta,actor,1.8033,1
Manish Srivastav,director,1.8033,1
Kunal Kapoor,actor,1.8032,3
Nassar,actor,1.8031,2
Ranveer Singh,actor,1.8027,13
Aditya Chopra,director,1.8023,4
Aniruddha Roy Chowdhury,director,1.8022,1
Tamannaah Bhatia,actor,1.8022,1
Abhishek Bachchan,actor,1.802,20
Aanand L. Rai,director,1.802,5
Neeraj Kabi,actor,1.8019,3
Prakash Raj,actor,1.8018,3
Kabir Bedi,actor,1.8017,2
Shammi Kapoor,actor,1.8012,2
Anil Kapoor,actor,1.8012,28
R. Balki,director,1.8011,5
Darshan Jariwala,actor,1.8011,1
Anup Bhandari,director,1.8007,1
Nirup Bhandari,actor,1.8007,1
Ritesh Batra,director,1.8007,1
Kalpana Iyer,actor,1.8007,1
Kim,actor,1.8007,1
Neetha Ashok,actor,1.8007,1
Armaan Ralhan,actor,1.8003,1
Madhuri Dixit,actor,1.8,18
Kiran Juneja,actor,1.7999,1
Rekha,actor,1.7992,4
Nitish Bharadwaj,actor,1.7991,1
Abhishek Banerjee,actor,1.7991,1
Ananya Panday,actor,1.7987,1
Manoj Pahwa,actor,1.7983,1
Prabhu Deva,actor,1.7982,2
Lisa Haydon,actor,1.7979,1
Shruti Haasan,actor,1.7975,2
Punit Malhotra,director,1.7975,2
Ileana D'Cruz,actor,1.7973,7
Kartik Aaryan,actor,1.7971,7
Sunil Thapa,actor,1.7971,1
Robin Das,actor,1.7971,1
Lara Dutta,actor,1.7968,6
Mrighdeep Lamba,director,1.7962,2
Omkar Kapoor,actor,1.7958,1
